PlacementId,Date,Network,Order,GlobalChain,GlobalType,GlobalImpressions,GlobalServed,GlobalIncome,GlobalFill,GlobalEcpm,GlobalRcpm,ExperimentChain,ExperimentType,ExperimentImpressions,ExperimentServed,ExperimentIncome,ExperimentFill,ExperimentEcpm,ExperimentRcpm
ad3f290182679590a3d68705b9d324a2,2015-07-01,Pubmatic,1,o28=0.05:p19=0.05:t14=0.05:o27=0.05:o26=0.05,BestChain,351912,69916,9.639,0.1986747,0.1378654,0.02739037,o11=0.05:p23=0.05:t18=0.05:o24=0.05,ExperimentClone,4920,1102,0.144,0.2239837,0.1306715,0.02926829
ad3f290182679590a3d68705b9d324a2,2015-07-01,PulsePoint,2,o28=0.05:p19=0.05:t14=0.05:o27=0.05:o26=0.05,BestChain,262795,9354,0.47,0.03559428,0.05024588,0.001788466,o11=0.05:p23=0.05:t18=0.05:o24=0.05,ExperimentClone,3582,46,0,0.01284199,0,0
ad3f290182679590a3d68705b9d324a2,2015-07-01,Aol,3,o28=0.05:p19=0.05:t14=0.05:o27=0.05:o26=0.05,BestChain,244244,9387,0.5504,0.03843288,0.05863428,0.002253484,o11=0.05:p23=0.05:t18=0.05:o24=0.05,ExperimentClone,3398,175,0.0086,0.05150088,0.04914286,0.002530901
ad3f290182679590a3d68705b9d324a2,2015-07-06,Aol,0,o21=1.05,Learning,2781,142,0.1634,0.05106077,1.150704,0.05875584,o3=1.05,LearningExperiment,2023,102,0.1032,0.05042017,1.011765,0.05101335
ad3f290182679590a3d68705b9d324a2,2015-07-06,Pubmatic,0,p6=0.45:p2=0.25,Learning,2007,164,0.126,0.081714,0.7682927,0.06278027,p13=0.45:p26=0.25,LearningExperiment,1308,77,0.054,0.0588685,0.7012987,0.0412844
ad3f290182679590a3d68705b9d324a2,2015-07-06,Pubmatic,1,p6=0.45:p2=0.25,Learning,1592,81,0.027,0.0508794,0.3333333,0.0169598,p13=0.45:p26=0.25,LearningExperiment,1069,43,0.018,0.04022451,0.4186046,0.01683817
ad3f290182679590a3d68705b9d324a2,2015-07-06,Aol,0,o22=0.45:o23=0.25,Learning,3012,270,0.1634,0.08964144,0.6051852,0.05424967,o4=0.45:o6=0.25,LearningExperiment,2112,129,0.0688,0.06107955,0.5333334,0.03257576
ad3f290182679590a3d68705b9d324a2,2015-07-06,Aol,1,o22=0.45:o23=0.25,Learning,2607,305,0.0774,0.1169927,0.2537705,0.0296893,o4=0.45:o6=0.25,LearningExperiment,1913,164,0.043,0.08572922,0.2621951,0.02247779
ad3f290182679590a3d68705b9d324a2,2015-07-06,Pubmatic,0,p5=1.05,Learning,1997,86,0.108,0.0430646,1.255814,0.05408112,p18=1.05,LearningExperiment,924,22,0.027,0.02380952,1.227273,0.02922078
ad3f290182679590a3d68705b9d324a2,2015-07-06,Pubmatic,0,p16=0.01,Learning,1913,1311,0.162,0.685311,0.1235698,0.08468375,p4=0.01,LearningExperiment,1189,851,0.09,0.7157275,0.1057579,0.07569386
ad3f290182679590a3d68705b9d324a2,2015-07-06,Aol,0,o2=0.01,Learning,2952,1981,0.2064,0.6710705,0.1041898,0.0699187,o32=0.01,LearningExperiment,1889,1398,0.129,0.7400741,0.09227467,0.0682901
ad3f290182679590a3d68705b9d324a2,2015-07-06,Aol,0,o28=0.05:p19=0.05:t14=0.05:o27=0.05:o26=0.05,BestChain,644606,392153,47.7988,0.6083608,0.1218881,0.07415196,o11=0.05:p23=0.05:t18=0.05:o24=0.05,ExperimentClone,20157,14086,1.3244,0.6988143,0.09402243,0.06570422
ad3f290182679590a3d68705b9d324a2,2015-07-06,Pubmatic,1,o28=0.05:p19=0.05:t14=0.05:o27=0.05:o26=0.05,BestChain,226576,20994,3.168,0.09265765,0.1509003,0.01398206,o11=0.05:p23=0.05:t18=0.05:o24=0.05,ExperimentClone,5459,352,0.054,0.06448068,0.1534091,0.009891922
ad3f290182679590a3d68705b9d324a2,2015-07-06,PulsePoint,2,o28=0.05:p19=0.05:t14=0.05:o27=0.05:o26=0.05,BestChain,190034,13793,0.69,0.07258175,0.05002537,0.003630929,o11=0.05:p23=0.05:t18=0.05:o24=0.05,ExperimentClone,4724,130,0.01,0.02751905,0.07692307,0.00211685
ad3f290182679590a3d68705b9d324a2,2015-07-06,Aol,3,o28=0.05:p19=0.05:t14=0.05:o27=0.05:o26=0.05,BestChain,169846,10823,0.6622,0.06372243,0.06118451,0.003898826,o11=0.05:p23=0.05:t18=0.05:o24=0.05,ExperimentClone,4415,322,0.0172,0.07293318,0.05341615,0.00389581
ad3f290182679590a3d68705b9d324a2,2015-07-03,Pubmatic,0,p6=0.45:p2=0.25,Learning,4454,464,0.342,0.104176,0.737069,0.07678492,p13=0.45:p26=0.25,LearningExperiment,2678,215,0.162,0.08028379,0.7534884,0.06049291
