chain_clean	e	o	p	t	v	w	z	DiscrepancyPercent
ppppp	0	0	5	0	0	0	0	0.06264
pppp	0	0	4	0	0	0	0	0.05374
ppp	0	0	3	0	0	0	0	0.04561
pppp	0	0	4	0	0	0	0	0.02795
pp	0	0	2	0	0	0	0	0.02786
pp	0	0	2	0	0	0	0	0.03902
p	0	0	1	0	0	0	0	0.02842
ppppp	0	0	5	0	0	0	0	0.06561
pppp	0	0	4	0	0	0	0	0.057
pppp	0	0	4	0	0	0	0	0.05508
ppppp	0	0	5	0	0	0	0	0.07079
pppp	0	0	4	0	0	0	0	0.06146
ppp	0	0	3	0	0	0	0	0.05568
pppp	0	0	4	0	0	0	0	0.06584
pp	0	0	2	0	0	0	0	0.04631
p	0	0	1	0	0	0	0	0.02847
ppppp	0	0	5	0	0	0	0	0.07538
pppp	0	0	4	0	0	0	0	0.06516
pppp	0	0	4	0	0	0	0	0.06838
ppppp	0	0	5	0	0	0	0	0.07329
pppp	0	0	4	0	0	0	0	0.07182
ppp	0	0	3	0	0	0	0	0.04776
pppp	0	0	4	0	0	0	0	0.07517
ppppp	0	0	5	0	0	0	0	0.06936
pppp	0	0	4	0	0	0	0	0.03608
pppp	0	0	4	0	0	0	0	0.04556
ppppp	0	0	5	0	0	0	0	0.1214
pppp	0	0	4	0	0	0	0	0.06194
ppp	0	0	3	0	0	0	0	0.10122
pppp	0	0	4	0	0	0	0	0.07018
ppppp	0	0	5	0	0	0	0	-0.00847
pppp	0	0	4	0	0	0	0	0.04042
pppp	0	0	4	0	0	0	0	0.04342
pppp	0	0	4	0	0	0	0	0.07785
pppp	0	0	4	0	0	0	0	0.05126
ppppp	0	0	5	0	0	0	0	0.0629
pppp	0	0	4	0	0	0	0	0.06061
pppp	0	0	4	0	0	0	0	-0.02329
ppppp	0	0	5	0	0	0	0	-0.03744
pppp	0	0	4	0	0	0	0	0.06853
ppp	0	0	3	0	0	0	0	-0.03696
pppp	0	0	4	0	0	0	0	0.05786
ppppp	0	0	5	0	0	0	0	0.04772
pppp	0	0	4	0	0	0	0	0.05047
pppp	0	0	4	0	0	0	0	0.02029
ppppp	0	0	5	0	0	0	0	0.04586
pppp	0	0	4	0	0	0	0	0.05944
ppp	0	0	3	0	0	0	0	0.09485
pppp	0	0	4	0	0	0	0	0.05283
ppppp	0	0	5	0	0	0	0	0.09556
pppp	0	0	4	0	0	0	0	0.08768
pppp	0	0	4	0	0	0	0	0.04049
ppppp	0	0	5	0	0	0	0	0.05731
pppp	0	0	4	0	0	0	0	0.09153
ppp	0	0	3	0	0	0	0	-0.00126
pppp	0	0	4	0	0	0	0	0.06105
ppppp	0	0	5	0	0	0	0	0.05653
pppp	0	0	4	0	0	0	0	0.03994
pppp	0	0	4	0	0	0	0	0.04696
ppppp	0	0	5	0	0	0	0	0.05295
pppp	0	0	4	0	0	0	0	0.04092
ppp	0	0	3	0	0	0	0	0.09461
pppp	0	0	4	0	0	0	0	0.05218
ppppp	0	0	5	0	0	0	0	0.05702
pppp	0	0	4	0	0	0	0	0.06022
pppp	0	0	4	0	0	0	0	0.0921
ppppp	0	0	5	0	0	0	0	0.10582
pppp	0	0	4	0	0	0	0	0.0777
pppp	0	0	4	0	0	0	0	0.06845
ppppp	0	0	5	0	0	0	0	0.11816
pppp	0	0	4	0	0	0	0	0.08926
pppp	0	0	4	0	0	0	0	0.0766
ppppp	0	0	5	0	0	0	0	0.08606
pppp	0	0	4	0	0	0	0	0.09862
ppp	0	0	3	0	0	0	0	0.01924
pppp	0	0	4	0	0	0	0	0.09845
ppppp	0	0	5	0	0	0	0	0.17693
pppp	0	0	4	0	0	0	0	0.15782
pppp	0	0	4	0	0	0	0	0.0389
ppppp	0	0	5	0	0	0	0	0.05941
pppp	0	0	4	0	0	0	0	0.15608
ppp	0	0	3	0	0	0	0	0.1241
pppp	0	0	4	0	0	0	0	0.1218
ppppp	0	0	5	0	0	0	0	0.07395
