chain	DiscrepancyPercent	e	o	p	t	v	w	z
ttee	0.243816889	2	0	0	2	0	0	0
tteet	0.280420872	2	0	0	3	0	0	0
ttepe	0.202439666	2	0	1	2	0	0	0
ttet	0.149590926	1	0	0	3	0	0	0
tto	0.113014851	0	1	0	2	0	0	0
ttoe	0.131414337	1	1	0	2	0	0	0
ttoee	0.333016175	2	1	0	2	0	0	0
ttoo	0.170878415	0	2	0	2	0	0	0
ttoot	0.076828266	0	2	0	3	0	0	0
ttop	0.202393617	0	1	1	2	0	0	0
ttopo	0.141735505	0	2	1	2	0	0	0
ttot	0.190681028	0	1	0	3	0	0	0
ttp	0.204725673	0	0	1	2	0	0	0
ttpe	0.074397706	1	0	1	2	0	0	0
ttpp	0.177705736	0	0	2	2	0	0	0
ttppp	0.275830621	0	0	3	2	0	0	0
ttppt	0.209610786	0	0	2	3	0	0	0
ttpt	0.200817165	0	0	1	3	0	0	0
ttt	0.146079146	0	0	0	3	0	0	0
ttte	0.055884994	1	0	0	3	0	0	0
tttee	0.283697409	2	0	0	3	0	0	0
ttto	0.158946855	0	1	0	3	0	0	0
tttoo	0.114582982	0	2	0	3	0	0	0
tttp	0.245991911	0	0	1	3	0	0	0
tttpp	0.143158946	0	0	2	3	0	0	0
tttpt	0.181587706	0	0	1	4	0	0	0
tttt	0.221416239	0	0	0	4	0	0	0
tttte	0.182621795	1	0	0	4	0	0	0
ttttp	0.091299596	0	0	1	4	0	0	0
ttttt	0.242483517	0	0	0	5	0	0	0
vop	0.155439492	0	1	1	0	1	0	0
vp	0.218873209	0	0	1	0	1	0	0
w	0.66614036	0	0	0	0	0	1	0
we	0.851564958	1	0	0	0	0	1	0
wet	0.876924273	1	0	0	1	0	1	0
wo	0.954179657	0	1	0	0	0	1	0
wp	0.812428762	0	0	1	0	0	1	0
wt	0.704774163	0	0	0	1	0	1	0
wto	0.569717244	0	1	0	1	0	1	0
z	-0.252403896	0	0	0	0	0	0	1
zeee	0.130874486	3	0	0	0	0	0	1
zeo	0.011760812	1	1	0	0	0	0	1
zep	0.006173482	1	0	1	0	0	0	1
zpe	0.055314183	1	0	1	0	0	0	1
zt	0.015650946	0	0	0	1	0	0	1
